sezione|votanti|ubicazione|numeroElettori
401|145|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|807
402|79|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|940
403|160|SCUOLA SECOND.DI I GRADO "MARCONI" VIA DI GIORGIO ANTONINO GEN. N.4|858
404|146|SCUOLA PRIMARIA "TRINACRIA" VIA TRINACRIA N.1|696
405|204|SCUOLA DELL'INFANZIA "TOMASELLI" VIA ABRUZZI N.2|951
406|62|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|972
407|141|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|781
408|121|SCUOLA DELL'INFANZIA "DIAZ VECCHIO" VIA REGINA MARIA DI SICILIA N.7|962
409|136|SCUOLA PRIMARIA "SAN LORENZO" VIA S.LORENZO N.89|935
410|63|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|854
411|158|SCUOLA PRIMARIA "BENTIVEGNA" VIA S.LORENZO N.85|950
412|174|SCUOLA PRIMARIA "BENTIVEGNA" VIA S.LORENZO N.85|951
413|150|SCUOLA SEC. 1Ã?Â° GRADO "ASTORINO" VIA ASTORINO GERARDO N.21|1109
414|152|SCUOLA SEC. 1Ã?Â° GRADO "ASTORINO" VIA ASTORINO GERARDO N.21|1049
415|148|SCUOLA SEC. 1Ã?Â° GRADO "ASTORINO" VIA ASTORINO GERARDO N.21|1181
416|128|SCUOLA PRIMARIA "ROSMINI" VIA CRUILLAS N.4|807
417|69|SCUOLA PRIMARIA "PADRE PUGLISI" VIA GIANNOTTA NICOLO' N.4|705
418|103|SCUOLA PRIMARIA "DI BARTOLO" LUNGOMARE COLOMBO CRISTOFORO N.240|888
419|134|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|992
420|117|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|1017
421|109|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|1092
422|146|SCUOLA SECOND.DI I GRADO "MARCONI" VIA DI GIORGIO ANTONINO GEN. N.4|843
423|104|SCUOLA PRIMARIA "TOMASINO BARTOLOMEO" VIA S.MARIA DI GESU' N.89|955
424|104|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|876
425|71|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|954
426|197|SCUOLA PRIM.E DELL'INFANZ."LAMBRUSCHINI" VIA DON GIOVANNI MINZONI N.1|1008
427|93|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|966
428|174|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|838
429|214|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|992
430|143|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|1032
431|151|SCUOLA PRIMARIA "D'ANGELO PAOLO EMILIO" VIA S.LORENZO N.295|1044
432|127|SCUOLA PRIMARIA "MANZONI" VIA PARLATORE FILIPPO N.56|773
433|150|SCUOLA PRIMARIA SANTOCANALE Via Polibio 1/b|1181
434|109|SCUOLA PRIMARIA "ROSMINI" VIA CRUILLAS N.4|838
435|130|SCUOLA PRIMARIA "MANZONI" VIA PARLATORE FILIPPO N.56|813
436|170|SCUOLA SECOND.I GR.E PRIM."VERDI" VIA CASELLA ALFREDO N.35|908
437|127|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1072
438|114|SCUOLA DELL'INFANZIA "PALADINI" PIAZZA CELLINI BENVENUTO N.4|892
439|94|SCUOLA PRIMARIA "DE AMICIS E" VIA SAURO NAZARIO N.11|981
440|70|SCUOLA PRIMARIA E DELL'INF."IEVOLELLA" VIA SERRADIFALCO N.3|752
441|80|SCUOLA PRIMARIA E DELL'INF."IEVOLELLA" VIA SERRADIFALCO N.3|776
442|47|SCUOLA PRIMARIA "DE AMICIS E" VIA SAURO NAZARIO N.11|891
443|66|SCUOLA PRIMARIA "DE AMICIS" VIA ROSSO DI S.SECONDO N.1|756
444|86|SCUOLA PRIMARIA "DE AMICIS E" VIA SAURO NAZARIO N.11|885
445|155|SCUOLA PRIMARIA "BENTIVEGNA" VIA S.LORENZO N.85|914
446|103|SCUOLA PRIMARIA "DE AMICIS" VIA ROSSO DI S.SECONDO N.1|909
447|84|SCUOLA PRIMARIA "DE AMICIS" VIA ROSSO DI S.SECONDO N.1|817
448|85|SCUOLA PRIMARIA "DE AMICIS E" VIA SAURO NAZARIO N.11|788
449|100|SCUOLA DELL'INFANZIA "DIAZ VECCHIO" VIA REGINA MARIA DI SICILIA N.7|839
450|133|SCUOLA PRIMARIA "VERGA" VIA UDITORE N.21|967
451|140|SCUOLA SECOND.I GR."TOMASI DI LAMPEDUSA" VIALE LEONARDO DA VINCI N.504|961
452|183|SCUOLA PRIMARIA "BERNINI" VIA PAPALEO PIETRO N.8|968
453|83|SCUOLA PRIMARIA "ROSMINI" VIA CRUILLAS N.4|691
454|79|SCUOLA PRIMARIA "NUOVO PAGLIARELLI" VIA VILLANI GIOVANNI N.40|1053
455|114|SCUOLA SECOND.I GR."TOMASI DI LAMPEDUSA" VIALE LEONARDO DA VINCI N.504|1005
456|139|SCUOLA PRIMARIA "NUOVO PAGLIARELLI" VIA VILLANI GIOVANNI N.40|1140
457|67|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|998
458|87|SCUOLA SECOND.I GRADO "PIRANDELLO" VIA DELL'USIGNOLO N.5|1055
459|132|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|861
460|108|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1053
461|85|SCUOLA SECOND.DI I GRADO "BORGESE" PIAZZA FERRINI CONTARDO N.13|666
462|167|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|1022
463|136|SCUOLA SECOND.I GR.E PRIM."VERDI" VIA CASELLA ALFREDO N.35|942
464|149|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|869
465|173|SCUOLA SECOND.DI I GRADO "MARCONI" VIA DI GIORGIO ANTONINO GEN. N.4|929
466|156|SCUOLA PRIMARIA "ROSARIO GREGORIO" VIA MARINAI ALLIATA N.33|1041
467|126|SCUOLA PRIMARIA "BRAGAGLIA" VIA BRAGAGLIA MARINELLA N.23|898
468|145|SCUOLA PRIMARIA "VITTORINO DA FELTRE" Corso Calatafimi n. 1035|955
469|143|SCUOLA PRIMARIA "DONAUDY" PIAZZA DONAUDY STEFANO N.16|866
470|184|SCUOLA PRIMARIA "ALMEJDA - PITRE'" VIA DAMIANI ALMEJDA N.27|981
471|127|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|845
472|152|SCUOLA SECOND.I GR."TOMASI DI LAMPEDUSA" VIALE LEONARDO DA VINCI N.504|909
473|75|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|909
474|125|SCUOLA PRIMARIA "GABELLI" VIA EUGENIO L'EMIRO N.30|1029
475|57|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|833
476|61|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|801
477|119|SCUOLA PRIMARIA "BIXIO" VIA CASSARO N.2|1048
478|160|SCUOLA PRIMARIA "BENTIVEGNA" VIA S.LORENZO N.85|1093
479|188|SCUOLA SECOND.DI I GRADO "MARCONI" VIA DI GIORGIO ANTONINO GEN. N.4|923
480|72|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|1144
481|119|SCUOLA PRIM.E DELL'INF."CASTELLANA" VIA CASTELLANA N.40|949
482|107|SCUOLA PRIMARIA "G. COSTA" VIA UGHETTI GIOVANBATTISTA N.27|884
483|60|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|822
484|0|OSPEDALE "G.F.INGRASSIA" CORSO CALATAFIMI N.1004|0
485|8|OSPEDALE "V.CERVELLO" VIA TRABUCCO N.180|0
486|11|POLICLINICO DIREZIONE SANITARIA VIA DEL VESPRO N.129|0
487|0|OSPEDALE CIVICO "BENFRATELLI" PIAZZA LEOTTA NICOLA N.1|0
488|0|OSPEDALE CIVICO "BENFRATELLI" PIAZZA LEOTTA NICOLA N.1|0
489|120|SCUOLA PRIMARIA "BIXIO" VIA CASSARO N.2|1085
490|112|SCUOLA PRIM."ILARIA ALPI"(A CROCEVERDE) CORSO DEI MILLE N.1672|841
491|157|SCUOLA PRIMARIA "PAULSEN" P.LE CARPINO FRANCESCO CARD. N.3|1059
492|2|OSPEDALE "VILLA SOFIA" PIAZZA SALERNO ALFREDO N.1|0
493|43|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|1051
494|174|SCUOLA PRIMARIA "SAN DOMENICO SAVIO" VIALE DELLA RESURREZIONE N.1|1092
495|134|SCUOLA SECOND.I GRADO "A.GRAMSCI" VIA ARCOLEO GIUSEPPE N.78|774
496|58|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|777
497|118|SCUOLA PRIMARIA "DI BARTOLO" LUNGOMARE COLOMBO CRISTOFORO N.240|890
498|141|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|1001
499|150|SCUOLA SECOND.I GR.E PRIM."VERDI" VIA CASELLA ALFREDO N.35|932
500|103|SCUOLA PRIMARIA "DE AMICIS E" VIA SAURO NAZARIO N.11|860
501|185|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|987
502|100|SCUOLA PRIM.E DELL'INFANZ."LAMBRUSCHINI" VIA DON GIOVANNI MINZONI N.1|808
503|152|SCUOLA PRIM.E DELL'INFANZ."LAMBRUSCHINI" VIA DON GIOVANNI MINZONI N.1|846
504|129|SCUOLA PRIMARIA "VITTORINO DA FELTRE" Corso Calatafimi n. 1035|1023
505|131|SCUOLA PRIMARIA "RAGUSA MOLETI" VIA RAGUSA MOLETI N.8|876
506|118|SCUOLA PRIMARIA "SUNSERI" VIA SUNSERI GIUSEPPE N.19|718
507|96|SCUOLA PRIM.E DELL'INFANZ."BONANNO" VIA PITRE' GIUSEPPE N.183|919
508|149|SCUOLA SECOND.I GRADO "V.E.ORLANDO" VIA LUSSEMBURGO N.103|705
509|133|SCUOLA PRIMARIA "F.SCO ORESTANO" VIA S.CIRO N.48|964
510|18|OSPEDALE "BUCCHERI LA FERLA" VIA MESSINA MARINE N.197|10
511|180|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|1020
512|168|SCUOLA SEC. 1Â° GRADO "SALEMI" VIA SALEMI FRANCESCO GEN. N.22|914
513|175|SCUOLA PRIMARIA "TRINACRIA" VIA TRINACRIA N.1|829
514|108|SCUOLA PRIM.E DELL'INFANZ."LAMBRUSCHINI" VIA DON GIOVANNI MINZONI N.1|743
515|97|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|977
516|126|SCUOLA PRIMARIA "ANDREA SOLE" VIA MOLARA N.30|1298
517|147|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|791
518|161|SCUOLA SECOND.I GR."GARIBALDI" VIA DELLE CROCI N.5|945
519|75|SCUOLA PRIMARIA "DE AMICIS" VIA ROSSO DI S.SECONDO N.1|696
520|105|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|940
521|98|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|861
522|127|SCUOLA DELL'INFANZIA "JACK LONDON" VIA LONDON JACK N.1/A|988
523|80|SCUOLA SECOND.DI I GRADO "BORGESE" PIAZZA FERRINI CONTARDO N.13|737
524|101|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.2 VIA BARISANO DA TRANI N.7|973
525|200|SCUOLA DELL'INFANZIA "TOMASELLI" VIA ABRUZZI N.2|1087
526|194|SCUOLA DELL'INFANZIA "TOMASELLI" VIA ABRUZZI N.2|1011
527|53|SCUOLA SECOND.I GRADO "PIRANDELLO" VIA DELL'USIGNOLO N.5|824
528|109|SCUOLA PRIMARIA "F.SCO ORESTANO" VIA S.CIRO N.48|914
529|113|SCUOLA DELL'INFANZIA "DIAZ VECCHIO" VIA REGINA MARIA DI SICILIA N.7|1012
530|146|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|874
531|107|SCUOLA PRIMARIA "NAZARIO SAURO" VIALE AMEDEO D'AOSTA N.20|962
532|176|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|897
533|171|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|847
534|54|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|1063
535|180|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|995
536|97|SCUOLA PRIMARIA "G. COSTA" VIA UGHETTI GIOVANBATTISTA N.27|807
537|114|SCUOLA PRIMARIA E DELL'INF."IEVOLELLA" VIA SERRADIFALCO N.3|822
538|125|SCUOLA PRIMARIA "SALGARI" VIA PARATORE GIUSEPPE N.34|967
539|108|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|805
540|93|SCUOLA PRIMARIA "OBERDAN" VIA SPICA PIETRO N.5|786
541|121|SCUOLA PRIMARIA "BRAGAGLIA" VIA BRAGAGLIA MARINELLA N.23|911
542|173|SCUOLA PRIMARIA "GABELLI" VIA EUGENIO L'EMIRO N.30|1091
543|126|SCUOLA PRIMARIA "DONAUDY" PIAZZA DONAUDY STEFANO N.16|860
544|86|SCUOLA PRIM.E DELL'INFANZ."BONANNO" VIA PITRE' GIUSEPPE N.183|807
545|138|SCUOLA PRIMARIA "MANZONI" VIA PARLATORE FILIPPO N.56|895
546|134|SCUOLA SECOND.I GR. "LEONARDO DA VINCI" VIA DI GIORGI FERDINANDO N.48|881
547|89|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|769
548|144|SCUOLA PRIMARIA "IGNAZIO BUTTITTA" VIA CIMABUE GIOVANNI N.20|923
549|106|SCUOLA PRIMARIA "RAGUSA MOLETI" VIA RAGUSA MOLETI N.8|710
550|149|SCUOLA PRIMARIA "BASILE" LARGO CORLEONE N.11/T|1214
551|78|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|875
552|108|SCUOLA SECOND.I GR."TOMASI DI LAMPEDUSA" VIALE LEONARDO DA VINCI N.504|874
553|125|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|971
554|150|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|862
555|172|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|928
556|81|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|825
557|145|SCUOLA PRIMARIA "TRINACRIA" VIA TRINACRIA N.1|897
558|152|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|863
559|110|SCUOLA SEC. 1Â° GRADO "SALEMI" VIA SALEMI FRANCESCO GEN. N.22|1040
560|110|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|726
561|210|SCUOLA PRIMARIA E INFANZIA "M.GANDHI" VIA SARDEGNA N.55|1074
562|104|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|846
563|139|SCUOLA PRIMARIA "SAN DOMENICO SAVIO" VIALE DELLA RESURREZIONE N.1|967
564|73|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|1034
565|78|SCUOLA PRIMARIA "TOMMASO NATALE" VIA LIMONE N.19|698
566|83|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|823
567|166|SCUOLA PRIMARIA "PAULSEN" P.LE CARPINO FRANCESCO CARD. N.3|1081
568|175|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|1130
569|43|SCUOLA PRIMARIA "MATTARELLA" VIALE DI VITTORIO GIUSEPPE N.7|751
570|100|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|794
571|131|SCUOLA DELL'INFANZIA"PASS.DEI PICCIOTTI" PASSAGGIO DEI PICCIOTTI N.3|1044
572|83|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|1064
573|184|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|924
574|190|SCUOLA PRIMARIA "PALAGONIA" VIA PRINCIPE DI PALAGONIA N.46|981
575|176|SCUOLA PRIMARIA E INFANZIA "M.GANDHI" VIA SARDEGNA N.55|937
576|195|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|858
577|159|SCUOLA PRIMARIA "GARZILLI" VIA ISONZO N.7|840
578|155|SCUOLA SECOND.I GR. "LEONARDO DA VINCI" VIA DI GIORGI FERDINANDO N.48|1096
579|121|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|988
580|101|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|1138
581|108|SCUOLA DELL'INFANZIA"MADRE TERESA DI C." VIA MAQUEDA N.53|1032
582|68|SCUOLA PRIMARIA E DELL'INF. "NUCCIO" VIA MONGITORE ANTONINO N.4|832
583|103|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|818
584|159|SCUOLA ELEMENTARE "CASTROGIOVANNI" VIA CRISTODULO AMMMIRAGLIO N.3|1158
585|116|SCUOLA PRIMARIA "NATOLI" CORSO DEI MILLE N.1486|985
586|82|SCUOLA PRIMARIA "F.SCO ORESTANO" VIA S.CIRO N.48|899
587|123|SCUOLA PRIMARIA "BIXIO" VIA CASSARO N.2|1101
588|82|SCUOLA PRIMARIA "PADRE PUGLISI" VIA GIANNOTTA NICOLO' N.4|692
589|112|SCUOLA PRIMARIA "OBERDAN" VIA SPICA PIETRO N.5|763
590|113|SCUOLA PRIMARIA "F.P. PEREZ" PIAZZA PEREZ FRANCESCO PAOLO N.1|909
591|82|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|917
592|96|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|1091
593|129|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|1009
594|78|SCUOLA PRIMARIA "G. COSTA" VIA UGHETTI GIOVANBATTISTA N.27|957
595|137|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1196
596|74|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|779
597|119|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|1015
598|109|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|844
599|101|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.2 VIA BARISANO DA TRANI N.7|912
600|168|SCUOLA PRIMARIA "SAN DOMENICO SAVIO" VIALE DELLA RESURREZIONE N.1|1103
